Species,0086SE_IS01,0086SE_0001,0086SE_0002,0086SE_0003,0086SE_0004,0086SE_0005,0086SE_0006,0086SE_0007,0086SE_0009,0086SE_0010,0086SE_0011,0086SE_0013,0086SE_0014,0086SE_0015,0086SE_0016,0086SE_0017,0086SE_0018,0086SE_0019,0086SE_0020,0086SE_0021,0086SE_0022,0086SE_0024,0086SE_0025,0086SE_0026,0086SE_0027,0086SE_0028,0086SE_0029,0086SE_0030,0086SE_0031,0086SE_0032,0086SE_0033
CE 20:4,0.438,84.689,227.419,219.107,148.848,95.617,58.272,171.844,173.45,283.475,227.107,270.773,184.716,126.441,164.918,160.085,246.75,364.388,250.772,247.731,253.693,51.011,45.179,38.432,256.926,255.168,246.917,179.965,323.172,172.778,163.063
CE 20:5,0,8.251,19.782,14.709,8.299,6.409,5.346,47.249,22.542,57.719,13.32,12.883,32.42,20.972,23.934,18.53,22.744,33.483,31.295,36.446,28.544,8.636,7.829,6.837,14.488,15.225,15.287,7.974,15.088,11.089,47.222
CE 22:4,0,0,0.37,0.551,0.415,0.192,0,0.412,0.334,0.528,0.674,1.163,0,0,0.245,0.372,0.529,0.53,0.448,0,0.354,0,0,0,0.882,0.554,0.941,0.534,0.901,0.279,0.449
CE 22:5,0,0.233,0.354,0.401,0.4,0.253,0.139,0.246,0.335,0.773,0.329,0.612,0.862,0.43,0.67,0.27,1.849,3.038,2.653,1.764,1.656,0.189,0.209,0,1.676,1.359,2,1.072,1.078,0.248,0.395
CE 22:6,0,8.109,22.689,17.99,8.957,5.258,3.145,20.31,14.967,34.834,22.216,21.234,12.236,8.259,12.663,16.476,18.151,26.274,14.716,12.509,14.442,4.905,3.85,3.512,21.443,19.037,17.325,10.86,21.073,16.958,17.33
DG 32:0,0.23,4.589,0.196,0.165,0,0.907,1.259,0,0.04,0.133,2.181,0,6.799,6.586,1.96,0,4.584,5.802,9.1,15.832,6.728,0.532,0.484,0.415,0.71,0.602,0.28,0.043,2.423,2.952,2.171
DG 32:1,0,3.232,0.561,0.439,0,0.592,1.094,0.404,0.472,1.062,1.443,0,6.833,7.46,2.944,0.74,6.472,7.841,13.79,24.239,10.376,2.484,1.921,2.537,0.821,0.687,0.399,0.294,0.922,2.816,1.254
DG 32:2,0,0.765,0,0,0,0,0,0,0,0,0,0,0.964,0.775,0,0,0.591,0.602,2.252,6.244,1.834,0.485,0.403,0,0,0,0,0,0,0,0
DG 34:1,0.062,8.91,6.822,5.959,5.99,5.932,7.446,4.114,5.468,10.844,16.048,5.988,23.563,18.438,11.527,5.62,23.787,25.01,29.416,50.476,35.452,5.998,5.568,7.965,9.363,9.751,9.953,6.629,22.357,12.217,13.8
DG 34:2,0,4.279,3.564,3.899,3.547,3.972,4.522,3.412,4.072,8.191,7.726,3.336,9.986,8.953,5.986,4.313,15.862,13.559,15.676,28.651,24.841,4.414,3.87,4.418,5.354,5.468,4.9,3.471,11.853,5.565,8.564
DG 34:3,0,0.546,0,0,0,0,0.333,0,0.552,0.887,0,0,1.104,0.439,0,0.415,1.799,0.699,1.203,2.908,3.074,0.582,0.35,0.267,0.403,0,0.344,0,0.99,0,0.75
DG 36:2,0,4.727,10.382,6.67,9.015,9.598,10.256,5.058,7.026,12.173,18.783,8.634,13.708,12.534,10.748,6.239,18.441,20.281,17.525,32.62,41.158,5.235,5.103,7.079,8.682,11.154,8.694,7.914,21.082,13.127,13.439
